tahun;nama_provinsi;nama_kabupaten/kota;nama_kecamatan;nama_kelurahan;usia;jenis_kelamin;jumlah
2016;PROVINSI DKI JAKARTA;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. PANGGANG;15 s.d 64;Laki-laki;68
2016;PROVINSI DKI JAKARTA;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. KELAPA;15 s.d 64;Laki-laki;80
2016;PROVINSI DKI JAKARTA;KAB.ADM.KEP.SERIBU;KEP. SERIBU UTR;P. HARAPAN;15 s.d 64;Laki-laki;19
2016;PROVINSI DKI JAKARTA;KAB.ADM.KEP.SERIBU;KEP. SERIBU SLT;P. UNTUNG JAWA;15 s.d 64;Laki-laki;18
2016;PROVINSI DKI JAKARTA;KAB.ADM.KEP.SERIBU;KEP. SERIBU SLT;P. TIDUNG;15 s.d 64;Laki-laki;59
2016;PROVINSI DKI JAKARTA;KAB.ADM.KEP.SERIBU;KEP. SERIBU SLT;P. PARI;15 s.d 64;Laki-laki;29
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;GAMBIR;GAMBIR;15 s.d 64;Laki-laki;6
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;GAMBIR;CIDENG;15 s.d 64;Laki-laki;51
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;GAMBIR;PETOJO UTARA;15 s.d 64;Laki-laki;106
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;GAMBIR;PETOJO SELATAN;15 s.d 64;Laki-laki;86
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;GAMBIR;KEBON KELAPA;15 s.d 64;Laki-laki;39
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;GAMBIR;DURI PULO;15 s.d 64;Laki-laki;135
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;SAWAH BESAR;PASAR BARU;15 s.d 64;Laki-laki;125
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;SAWAH BESAR;KARANG ANYAR;15 s.d 64;Laki-laki;108
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;SAWAH BESAR;KARTINI;15 s.d 64;Laki-laki;88
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;SAWAH BESAR;GUNUNG SAHARI UTARA;15 s.d 64;Laki-laki;85
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;SAWAH BESAR;MANGGA DUA SELATAN;15 s.d 64;Laki-laki;68
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;KEMAYORAN;KEMAYORAN;15 s.d 64;Laki-laki;130
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;KEMAYORAN;KEBON KOSONG;15 s.d 64;Laki-laki;57
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;KEMAYORAN;HARAPAN MULIA;15 s.d 64;Laki-laki;78
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;KEMAYORAN;SERDANG;15 s.d 64;Laki-laki;110
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;KEMAYORAN;GUNUNG SAHARI SELATAN;15 s.d 64;Laki-laki;258
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;KEMAYORAN;CEMPAKA BARU;15 s.d 64;Laki-laki;147
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;KEMAYORAN;SUMUR BATU;15 s.d 64;Laki-laki;62
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;KEMAYORAN;UTAN PANJANG;15 s.d 64;Laki-laki;134
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;SENEN;SENEN;15 s.d 64;Laki-laki;28
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;SENEN;KENARI;15 s.d 64;Laki-laki;34
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;SENEN;PASEBAN;15 s.d 64;Laki-laki;220
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;SENEN;KRAMAT;15 s.d 64;Laki-laki;189
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;SENEN;KWITANG;15 s.d 64;Laki-laki;81
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;SENEN;BUNGUR;15 s.d 64;Laki-laki;96
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;CEMPAKA PUTIH;CEMPAKA PUTIH TIMUR;15 s.d 64;Laki-laki;45
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;CEMPAKA PUTIH;CEMPAKA PUTIH BARAT;15 s.d 64;Laki-laki;137
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;CEMPAKA PUTIH;RAWASARI;15 s.d 64;Laki-laki;91
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;MENTENG;MENTENG;15 s.d 64;Laki-laki;146
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;MENTENG;PEGANGSAAN;15 s.d 64;Laki-laki;154
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;MENTENG;CIKINI;15 s.d 64;Laki-laki;83
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;MENTENG;GONDANGDIA;15 s.d 64;Laki-laki;12
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;MENTENG;KEBON SIRIH;15 s.d 64;Laki-laki;39
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;TANAH ABANG;GELORA;15 s.d 64;Laki-laki;16
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;TANAH ABANG;BENDUNGAN HILIR;15 s.d 64;Laki-laki;108
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;TANAH ABANG;KARET TENGSIN;15 s.d 64;Laki-laki;47
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;TANAH ABANG;PETAMBURAN;15 s.d 64;Laki-laki;82
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;TANAH ABANG;KEBON MELATI;15 s.d 64;Laki-laki;89
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;TANAH ABANG;KEBON KACANG;15 s.d 64;Laki-laki;76
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;TANAH ABANG;KAMPUNG BALI;15 s.d 64;Laki-laki;45
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;JOHAR BARU;JOHAR BARU;15 s.d 64;Laki-laki;154
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;JOHAR BARU;KAMPUNG RAWA;15 s.d 64;Laki-laki;99
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;JOHAR BARU;GALUR;15 s.d 64;Laki-laki;96
2016;PROVINSI DKI JAKARTA;JAKARTA PUSAT;JOHAR BARU;TANAH TINGGI;15 s.d 64;Laki-laki;131
2016;PROVINSI DKI JAKARTA;JAKARTA UTARA;PENJARINGAN;PENJARINGAN;15 s.d 64;Laki-laki;138
2016;PROVINSI DKI JAKARTA;JAKARTA UTARA;PENJARINGAN;KAMAL MUARA;15 s.d 64;Laki-laki;42
2016;PROVINSI DKI JAKARTA;JAKARTA UTARA;PENJARINGAN;KAPUK MUARA;15 s.d 64;Laki-laki;63
2016;PROVINSI DKI JAKARTA;JAKARTA UTARA;PENJARINGAN;PEJAGALAN;15 s.d 64;Laki-laki;142
2016;PROVINSI DKI JAKARTA;JAKARTA UTARA;PENJARINGAN;PLUIT;15 s.d 64;Laki-laki;89
2016;PROVINSI DKI JAKARTA;JAKARTA UTARA;TANJUNG PRIOK;TANJUNG PRIOK;15 s.d 64;Laki-laki;332
2016;PROVINSI DKI JAKARTA;JAKARTA UTARA;TANJUNG PRIOK;SUNTER JAYA;15 s.d 64;Laki-laki;128
2016;PROVINSI DKI JAKARTA;JAKARTA UTARA;TANJUNG PRIOK;PAPANGGO;15 s.d 64;Laki-laki;254
2016;PROVINSI DKI JAKARTA;JAKARTA UTARA;TANJUNG PRIOK;SUNGAI BAMBU;15 s.d 64;Laki-laki;407
2016;PROVINSI DKI JAKARTA;JAKARTA UTARA;TANJUNG PRIOK;KEBON BAWANG;15 s.d 64;Laki-laki;328
2016;PROVINSI DKI JAKARTA;JAKARTA UTARA;TANJUNG PRIOK;SUNTER AGUNG;15 s.d 64;Laki-laki;171
2016;PROVINSI DKI JAKARTA;JAKARTA UTARA;TANJUNG PRIOK;WARAKAS;15 s.d 64;Laki-laki;228
2016;PROVINSI DKI JAKARTA;JAKARTA UTARA;KOJA;KOJA;15 s.d 64;Laki-laki;444
2016;PROVINSI DKI JAKARTA;JAKARTA UTARA;KOJA;TUGU UTARA;15 s.d 64;Laki-laki;246
2016;PROVINSI DKI JAKARTA;JAKARTA UTARA;KOJA;LAGOA;15 s.d 64;Laki-laki;683
2016;PROVINSI DKI JAKARTA;JAKARTA UTARA;KOJA;RAWA BADAK UTARA;15 s.d 64;Laki-laki;271
2016;PROVINSI DKI JAKARTA;JAKARTA UTARA;KOJA;TUGU SELATAN;15 s.d 64;Laki-laki;81
2016;PROVINSI DKI JAKARTA;JAKARTA UTARA;KOJA;RAWA BADAK SELATAN;15 s.d 64;Laki-laki;359
2016;PROVINSI DKI JAKARTA;JAKARTA UTARA;CILINCING;CILINCING;15 s.d 64;Laki-laki;177
2016;PROVINSI DKI JAKARTA;JAKARTA UTARA;CILINCING;SUKAPURA;15 s.d 64;Laki-laki;263
2016;PROVINSI DKI JAKARTA;JAKARTA UTARA;CILINCING;MARUNDA;15 s.d 64;Laki-laki;182
2016;PROVINSI DKI JAKARTA;JAKARTA UTARA;CILINCING;KALI BARU;15 s.d 64;Laki-laki;466
2016;PROVINSI DKI JAKARTA;JAKARTA UTARA;CILINCING;SEMPER TIMUR;15 s.d 64;Laki-laki;54
2016;PROVINSI DKI JAKARTA;JAKARTA UTARA;CILINCING;ROROTAN;15 s.d 64;Laki-laki;116
2016;PROVINSI DKI JAKARTA;JAKARTA UTARA;CILINCING;SEMPER BARAT;15 s.d 64;Laki-laki;286
2016;PROVINSI DKI JAKARTA;JAKARTA UTARA;PADEMANGAN;PADEMANGAN TIMUR;15 s.d 64;Laki-laki;80
2016;PROVINSI DKI JAKARTA;JAKARTA UTARA;PADEMANGAN;PADEMANGAN BARAT;15 s.d 64;Laki-laki;100
2016;PROVINSI DKI JAKARTA;JAKARTA UTARA;PADEMANGAN;ANCOL;15 s.d 64;Laki-laki;30
2016;PROVINSI DKI JAKARTA;JAKARTA UTARA;KELAPA GADING;KELAPA GADING TIMUR;15 s.d 64;Laki-laki;88
2016;PROVINSI DKI JAKARTA;JAKARTA UTARA;KELAPA GADING;PEGANGSAAN DUA;15 s.d 64;Laki-laki;123
2016;PROVINSI DKI JAKARTA;JAKARTA UTARA;KELAPA GADING;KELAPA GADING BARAT;15 s.d 64;Laki-laki;42
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;CENGKARENG;CENGKARENG BARAT;15 s.d 64;Laki-laki;1216
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;CENGKARENG;DURI KOSAMBI;15 s.d 64;Laki-laki;148
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;CENGKARENG;RAWA BUAYA;15 s.d 64;Laki-laki;106
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;CENGKARENG;KEDAUNG KALI ANGKE;15 s.d 64;Laki-laki;34
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;CENGKARENG;KAPUK;15 s.d 64;Laki-laki;170
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;CENGKARENG;CENGKARENG TIMUR;15 s.d 64;Laki-laki;89
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;GROGOL PETAMBURAN;GROGOL;15 s.d 64;Laki-laki;55
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;GROGOL PETAMBURAN;TANJUNG DUREN UTARA;15 s.d 64;Laki-laki;38
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;GROGOL PETAMBURAN;TOMANG;15 s.d 64;Laki-laki;94
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;GROGOL PETAMBURAN;JELAMBAR;15 s.d 64;Laki-laki;63
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;GROGOL PETAMBURAN;TANJUNG DUREN SELATAN;15 s.d 64;Laki-laki;62
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;GROGOL PETAMBURAN;JELAMBAR BARU;15 s.d 64;Laki-laki;42
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;GROGOL PETAMBURAN;WIJAYA KUSUMA;15 s.d 64;Laki-laki;313
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;TAMAN SARI;TAMAN SARI;15 s.d 64;Laki-laki;40
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;TAMAN SARI;KRUKUT;15 s.d 64;Laki-laki;72
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;TAMAN SARI;MAPHAR;15 s.d 64;Laki-laki;45
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;TAMAN SARI;TANGKI;15 s.d 64;Laki-laki;45
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;TAMAN SARI;MANGGA BESAR;15 s.d 64;Laki-laki;27
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;TAMAN SARI;KEAGUNGAN;15 s.d 64;Laki-laki;97
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;TAMAN SARI;GLODOK;15 s.d 64;Laki-laki;23
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;TAMAN SARI;PINANGSIA;15 s.d 64;Laki-laki;70
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;TAMBORA;TAMBORA;15 s.d 64;Laki-laki;42
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;TAMBORA;KALI ANYAR;15 s.d 64;Laki-laki;37
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;TAMBORA;DURI UTARA;15 s.d 64;Laki-laki;61
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;TAMBORA;TANAH SEREAL;15 s.d 64;Laki-laki;136
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;TAMBORA;KERENDANG;15 s.d 64;Laki-laki;64
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;TAMBORA;JEMBATAN BESI;15 s.d 64;Laki-laki;91
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;TAMBORA;ANGKE;15 s.d 64;Laki-laki;92
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;TAMBORA;JEMBATAN LIMA;15 s.d 64;Laki-laki;127
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;TAMBORA;PEKOJAN;15 s.d 64;Laki-laki;136
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;TAMBORA;ROA MALAKA;15 s.d 64;Laki-laki;13
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;TAMBORA;DURI SELATAN;15 s.d 64;Laki-laki;50
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;KEBON JERUK;KEBON JERUK;15 s.d 64;Laki-laki;146
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;KEBON JERUK;SUKABUMI UTARA;15 s.d 64;Laki-laki;58
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;KEBON JERUK;SUKABUMI SELATAN;15 s.d 64;Laki-laki;46
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;KEBON JERUK;KELAPA DUA;15 s.d 64;Laki-laki;36
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;KEBON JERUK;DURI KEPA;15 s.d 64;Laki-laki;48
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;KEBON JERUK;KEDOYA UTARA;15 s.d 64;Laki-laki;101
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;KEBON JERUK;KEDOYA SELATAN;15 s.d 64;Laki-laki;101
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;KALI DERES;KALIDERES;15 s.d 64;Laki-laki;171
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;KALI DERES;SEMANAN;15 s.d 64;Laki-laki;238
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;KALI DERES;TEGAL ALUR;15 s.d 64;Laki-laki;369
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;KALI DERES;KAMAL;15 s.d 64;Laki-laki;204
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;KALI DERES;PEGADUNGAN;15 s.d 64;Laki-laki;175
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;PALMERAH;PALMERAH;15 s.d 64;Laki-laki;48
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;PALMERAH;SLIPI;15 s.d 64;Laki-laki;33
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;PALMERAH;KOTA BAMBU UTARA;15 s.d 64;Laki-laki;48
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;PALMERAH;JATI PULO;15 s.d 64;Laki-laki;237
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;PALMERAH;KEMANGGISAN;15 s.d 64;Laki-laki;97
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;PALMERAH;KOTA BAMBU SELATAN;15 s.d 64;Laki-laki;76
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;KEMBANGAN;KEMBANGAN UTARA;15 s.d 64;Laki-laki;46
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;KEMBANGAN;MERUYA UTARA;15 s.d 64;Laki-laki;41
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;KEMBANGAN;MERUYA SELATAN;15 s.d 64;Laki-laki;50
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;KEMBANGAN;SRENGSENG;15 s.d 64;Laki-laki;84
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;KEMBANGAN;JOGLO;15 s.d 64;Laki-laki;39
2016;PROVINSI DKI JAKARTA;JAKARTA BARAT;KEMBANGAN;KEMBANGAN SELATAN;15 s.d 64;Laki-laki;46
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;TEBET;TEBET TIMUR;15 s.d 64;Laki-laki;31
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;TEBET;TEBET BARAT;15 s.d 64;Laki-laki;39
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;TEBET;MENTENG DALAM;15 s.d 64;Laki-laki;93
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;TEBET;KEBON BARU;15 s.d 64;Laki-laki;63
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;TEBET;BUKIT DURI;15 s.d 64;Laki-laki;60
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;TEBET;MANGGARAI SELATAN;15 s.d 64;Laki-laki;29
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;TEBET;MANGGARAI;15 s.d 64;Laki-laki;156
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;SETIA BUDI;SETIA BUDI;15 s.d 64;Laki-laki;11
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;SETIA BUDI;KARET SEMANGGI;15 s.d 64;Laki-laki;7
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;SETIA BUDI;KARET KUNINGAN;15 s.d 64;Laki-laki;19
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;SETIA BUDI;KARET;15 s.d 64;Laki-laki;16
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;SETIA BUDI;MENTENG ATAS;15 s.d 64;Laki-laki;67
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;SETIA BUDI;PASAR MANGGIS;15 s.d 64;Laki-laki;158
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;SETIA BUDI;GUNTUR;15 s.d 64;Laki-laki;29
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;SETIA BUDI;KUNINGAN TIMUR;15 s.d 64;Laki-laki;2
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;MAMPANG PRAPATAN;MAMPANG PRAPATAN;15 s.d 64;Laki-laki;24
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;MAMPANG PRAPATAN;BANGKA;15 s.d 64;Laki-laki;19
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;MAMPANG PRAPATAN;PELA MAMPANG;15 s.d 64;Laki-laki;69
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;MAMPANG PRAPATAN;TEGAL PARANG;15 s.d 64;Laki-laki;35
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;MAMPANG PRAPATAN;KUNINGAN BARAT;15 s.d 64;Laki-laki;20
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;PASAR MINGGU;PASAR MINGGU;15 s.d 64;Laki-laki;69
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;PASAR MINGGU;JATI PADANG;15 s.d 64;Laki-laki;41
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;PASAR MINGGU;CILANDAK TIMUR;15 s.d 64;Laki-laki;32
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;PASAR MINGGU;RAGUNAN;15 s.d 64;Laki-laki;51
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;PASAR MINGGU;PEJATEN TIMUR;15 s.d 64;Laki-laki;103
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;PASAR MINGGU;PEJATEN BARAT;15 s.d 64;Laki-laki;64
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;PASAR MINGGU;KEBAGUSAN;15 s.d 64;Laki-laki;91
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN LAMA;KEBAYORAN LAMA UTARA;15 s.d 64;Laki-laki;56
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN LAMA;PONDOK PINANG;15 s.d 64;Laki-laki;64
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN LAMA;CIPULIR;15 s.d 64;Laki-laki;75
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN LAMA;GROGOL UTARA;15 s.d 64;Laki-laki;50
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN LAMA;GROGOL SELATAN;15 s.d 64;Laki-laki;82
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN LAMA;KEBAYORAN LAMA SELATAN;15 s.d 64;Laki-laki;86
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;CILANDAK;CILANDAK BARAT;15 s.d 64;Laki-laki;46
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;CILANDAK;LEBAK BULUS;15 s.d 64;Laki-laki;34
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;CILANDAK;PONDOK LABU;15 s.d 64;Laki-laki;76
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;CILANDAK;GANDARIA SELATAN;15 s.d 64;Laki-laki;58
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;CILANDAK;CIPETE SELATAN;15 s.d 64;Laki-laki;62
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN BARU;MELAWAI;15 s.d 64;Laki-laki;1
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN BARU;GUNUNG;15 s.d 64;Laki-laki;16
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN BARU;KRAMAT PELA;15 s.d 64;Laki-laki;23
2016;PROVINSI DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN BARU;SELONG;15 s.d 64;Laki-laki;5
